from_unixtime(date_ts),num_tasks,procs_per_node,file_per_proc,segment,block_size,transfer_size,aggregate_size,write_data_rate_max,write_data_rate_mean,write_data_rate_min,write_open_time,write_wrrd_time,write_close_time,read_data_rate_max,read_data_rate_mean,read_data_rate_min,read_open_time,read_wrrd_time,read_close_time,command_line
2015-10-07 17:19:34,648,2,1,NULL,1073741824,67108864,2147483647,33785.8,33785.8,33785.8,0.059259,19.58,0.003366,55320.1,55320.1,55320.1,0.00427,11.99,0.005387,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:20:18,864,2,1,NULL,1073741824,67108864,2147483647,36785,36785,36785,0.060002,23.99,0.004063,72671.8,72671.8,72671.8,0.005946,12.16,0.007204,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:21:07,1080,2,1,NULL,1073741824,67108864,2147483647,52843.6,52843.6,52843.6,0.053976,20.87,0.006455,95916.2,95916.2,95916.2,0.007096,11.51,0.009712,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:21:52,1296,2,1,NULL,1073741824,67108864,2147483647,66616,66616,66616,0.087164,19.83,0.005946,108234,108234,108234,0.008668,12.24,0.009681,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:22:39,1512,2,1,NULL,1073741824,67108864,2147483647,57659.1,57659.1,57659.1,0.072992,26.77,0.006483,104746,104746,104746,0.011896,14.76,0.012219,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:23:33,1728,2,1,NULL,1073741824,67108864,2147483647,70014.2,70014.2,70014.2,0.080601,25.18,0.007701,134656,134656,134656,0.011246,13.12,0.014271,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:24:24,1944,2,1,NULL,1073741824,67108864,2147483647,79956.8,79956.8,79956.8,0.082188,24.81,0.008542,132378,132378,132378,0.012895,15.01,0.015782,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:25:17,2160,2,1,NULL,1073741824,67108864,2147483647,90267.5,90267.5,90267.5,0.068711,24.43,0.009698,145526,145526,145526,0.014033,15.17,0.017297,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:26:15,2376,2,1,NULL,1073741824,67108864,2147483647,74685.9,74685.9,74685.9,0.092601,32.47,0.010666,158005,158005,158005,0.015173,15.36,0.019222,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:27:20,2592,2,1,NULL,1073741824,67108864,2147483647,72046.3,72046.3,72046.3,0.108005,36.72,0.012533,174041,174041,174041,0.017801,15.21,0.02216,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:28:30,2808,2,1,NULL,1073741824,67108864,2147483647,63400.8,63400.8,63400.8,0.091714,45.25,0.012397,156617,156617,156617,0.019697,18.32,0.023061,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:29:52,3024,2,1,NULL,1073741824,67108864,2147483647,86920.2,86920.2,86920.2,0.094455,35.52,0.01362,187342,187342,187342,0.020351,16.48,0.025517,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:31:05,3240,2,1,NULL,1073741824,67108864,2147483647,87745.2,87745.2,87745.2,0.111462,37.69,0.014038,190083,190083,190083,0.021338,17.41,0.026877,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
2015-10-07 17:32:33,3456,2,1,NULL,1073741824,67108864,2147483647,67881.1,67881.1,67881.1,0.101535,52.02,0.015049,206069,206069,206069,0.022946,17.12,0.028871,/home/atorrez/Testing/IOR/install/bin/ior -C -B -E -F -a POSIX -b 1g -e -g -k -o /scratch2/users/atorrez/nn/ior_MPIIO_2_1444248525.0.out -s 1 -r -t 64m -w
